Zip_Code,Taxonomy_Code,Count_Taxonomy_Code
99508,207XX0801X,1
99508,207Y00000X,25
99508,207YP0228X,2
99508,207YS0123X,4
99508,207YX0007X,2
99508,207YX0901X,2
99508,207YX0905X,5
99508,207ZH0000X,1
99508,207ZP0102X,16
99508,207ZP0105X,1
99508,208000000X,109
99508,2080A0000X,1
99508,2080N0001X,8
99508,2080P0006X,3
99508,2080P0202X,6
99508,2080P0203X,2
99508,2080P0205X,5
99508,2080P0206X,8
99508,2080P0207X,5
99508,2080P0214X,7
99508,2080S0012X,1
99508,208100000X,12
99508,2081P2900X,9
99508,2081S0010X,2
99508,208200000X,5
99508,2083A0100X,1
99508,2083P0500X,2
99508,2083P0901X,6
99508,2083S0010X,1
99508,2083X0100X,5
99508,2084A0401X,1
99508,2084N0400X,20
99508,2084N0402X,3
99508,2084N0600X,2
99508,2084P0005X,1
99508,2084P0800X,61
99508,2084P0802X,1
99508,2084P0804X,19
99508,2084S0010X,1
99508,2084S0012X,5
99508,2085B0100X,8
99508,2085D0003X,1
99508,2085P0229X,1
99508,2085R0001X,6
99508,2085R0202X,56
99508,2085R0203X,2
99508,2085R0204X,9
99508,2085U0001X,2
99508,208600000X,72
99508,2086S0102X,2
99508,2086S0105X,1
99508,2086S0120X,2
99508,2086S0122X,4
99508,2086S0127X,5
99508,2086S0129X,11
99508,2086X0206X,6
99508,208800000X,23
99508,2088P0231X,2
99508,208C00000X,5
99508,208D00000X,16
99508,208G00000X,9
99508,208M00000X,5
99508,208VP0000X,4
99508,208VP0014X,12
99508,213E00000X,5
99508,213EP1101X,1
99508,213ES0103X,9
99508,213ES0131X,2
99508,222Q00000X,1
99508,222Z00000X,8
99508,224P00000X,8
99508,224Z00000X,5
99508,225100000X,104
99508,2251P0200X,5
99508,2251S0007X,1
99508,2251X0800X,15
99508,225200000X,16
99508,225400000X,3
99508,2255A2300X,8
99508,225700000X,56
99508,225800000X,3
99508,225X00000X,60
99508,225XF0002X,1
99508,225XH1200X,9
99508,225XP0200X,6
99508,226000000X,2
99508,227800000X,15
99508,227900000X,1
99508,231H00000X,27
99508,235Z00000X,70
99508,237600000X,1
99508,237700000X,5
99508,246RP1900X,1
99508,246Z00000X,2
99508,246ZC0007X,4
99508,246ZE0600X,1
99508,246ZS0410X,1
99508,247000000X,1
99508,2471C3401X,1
99508,2471C3402X,1
99508,2471M1202X,1
99508,2471S1302X,1
99508,2471V0105X,2
99508,247200000X,12
99508,251300000X,1
99508,251B00000X,29
99508,251C00000X,5
99508,251E00000X,13
99508,251G00000X,4
99508,251J00000X,2
99508,251S00000X,23
99508,251X00000X,4
99508,253Z00000X,6
99508,261Q00000X,8
99508,261QA0005X,1
99508,261QA0600X,4
99508,261QA1903X,12
99508,261QB0400X,8
99508,261QC1500X,4
99508,261QD0000X,6
99508,261QD1600X,1
99508,261QE0700X,2
99508,261QF0050X,4
99508,261QH0100X,5
99508,261QH0700X,4
99508,261QM0801X,18
99508,261QM0850X,6
99508,261QM0855X,5
99508,261QM1300X,9
99508,261QM2500X,10
99508,261QP1100X,1
99508,261QP2000X,10
99508,261QP2300X,10
99508,261QR0200X,2
99508,261QR0207X,1
99508,261QR0400X,3
99508,261QR0405X,3
99508,261QS1000X,1
99508,261QS1200X,3
99508,261QU0200X,3
99508,261QX0100X,2
99508,261QX0203X,1
99508,273R00000X,2
99508,273Y00000X,2
99508,282J00000X,1
99508,282N00000X,21
99508,282NR1301X,1
99508,283Q00000X,3
99508,284300000X,1
99508,291U00000X,9
99508,292200000X,1
99508,302F00000X,3
99508,302R00000X,1
